Date,Close,High,Low,Open,Volume
2000-01-03,35.5203857421875,36.148896589100204,34.13004356568365,35.76798092430463,53228400
2000-01-04,34.32050323486328,35.691799701517084,34.206228529308795,34.606189998749485,54119000
2000-01-05,34.68234634399414,35.463222895396534,33.33009670619975,33.863378253498944,64059600
2000-01-06,33.52057647705078,34.70141496658325,33.02538614273072,34.18717885017395,54976600
2000-01-07,33.958621978759766,34.206217091336256,32.70160063798683,33.10156197368731,62013600
2000-01-10,34.20621871948242,34.64427163181433,33.939577816323876,34.56808851662617,44963600
2000-01-11,33.330116271972656,34.815687168666294,33.1206126839774,33.97767281668527,46743600
2000-01-12,32.2445068359375,33.17775009344544,31.8254996590972,33.063475408852625,66532400
2000-01-13,32.85397720336914,33.10157239388728,30.930353030882017,31.806459089638526,83144000
2000-01-14,34.20621871948242,34.720454747002485,32.22545772459035,32.66351063692225,73416400
2000-01-18,35.13945007324219,35.50131974879319,34.05384104658918,34.072886818986596,81483600
2000-01-19,32.60637283325195,33.97766888698685,32.301640376866416,33.67293643060131,97568200
2000-01-20,32.3016471862793,33.425348356085,32.263555621201135,32.62542548944366,56349800
2000-01-21,31.61598014831543,32.68254333404173,31.46361397892596,32.606360249347,68416200
2000-01-24,30.85416603088379,32.20641651742252,30.720845560379967,31.630281627031017,63597600
2000-01-25,31.330305099487305,31.65408332847897,30.33992463433634,30.777977532383883,59823200
2000-01-26,30.282791137695312,31.539812656618516,30.206608015336332,31.216034386592842,49365000
2000-01-27,30.092336654663086,30.835122179683253,29.635237870035294,30.439922188807138,63654800
2000-01-28,29.939958572387695,30.54942337793248,29.6352261696153,29.901867022041145,58225400
2000-01-31,29.825698852539062,29.92092777607846,28.911501186560855,29.74951571370755,73194200
2000-02-01,31.36840057373047,31.46362947650439,29.76855500712855,30.01615015434075,70196600
2000-02-02,30.720842361450195,31.6731313373166,30.625613463863555,31.216032628900727,49915600
2000-02-03,31.57790756225586,31.749319605718043,30.511343736268927,31.10176299708312,49186000
2000-02-04,32.473045349121094,32.91109816028226,31.735021591186523,31.806443245180194,55365400
2000-02-07,32.49209976196289,32.568282879810404,31.76836014241155,32.54923710034852,40005800
2000-02-08,33.501522064208984,33.52056784139159,32.43495854198289,32.43495854198289,56229000
2000-02-09,31.69217300415039,33.34915560713181,31.654081450058865,33.34915560713181,55090000
2000-02-10,32.3016471862793,32.47305922913102,31.23508336409083,31.658852025585354,54527800
